count,command,pushing_to_server_required
1,USER=root ; COMMAND=,yes
2,session closed,no
3,session opened,yes
4,Removed session,no
5,Registered Authentication Agent,yes
6,The SSH agent was already initialized,no
7,The Secret Service was already initialized,yes
8,apparmor="DENIED",yes
9,is owned by root and has written permissions to anyone,yes
10,Changed attributes:,yes
11,Accepted password for root from ,yes


1,Removed session,no
2,Changed attributes:,yes
3,"apparmor=""DENIED""",yes
4,session opened,yes
5,Accepted password for root from ,yes
1,"apparmor=""DENIED""",yes
2,Registered Authentication Agent,yes
3,Removed session,no
4,Removed session,no
5,Removed session,no
6,USER=root ; COMMAND=,yes
7,Removed session,no
8,"apparmor=""DENIED""",yes
9,session closed,no
10,USER=root ; COMMAND=,yes
11,"apparmor=""DENIED""",yes
12,Removed session,no
13,session closed,no
14,"apparmor=""DENIED""",yes
15,"apparmor=""DENIED""",yes
16,is owned by root and has written permissions to anyone,yes
17,"apparmor=""DENIED""",yes
18,Removed session,no
19,session closed,no
20,Accepted password for root from ,yes
21,session opened,yes
22,Changed attributes:,yes
23,USER=root ; COMMAND=,yes
24,Removed session,no
25,session opened,yes
26,Changed attributes:,yes
27,Removed session,no
28,Accepted password for root from ,yes
29,session opened,yes
30,session closed,no
31,The SSH agent was already initialized,no
32,"apparmor=""DENIED""",yes
33,Accepted password for root from ,yes
34,is owned by root and has written permissions to anyone,yes
35,session opened,yes
36,"apparmor=""DENIED""",yes
37,Changed attributes:,yes
38,The Secret Service was already initialized,yes
39,session opened,yes
40,Accepted password for root from ,yes
41,"apparmor=""DENIED""",yes
42,"apparmor=""DENIED""",yes
43,USER=root ; COMMAND=,yes
44,session opened,yes
45,is owned by root and has written permissions to anyone,yes
46,Removed session,no
47,session opened,yes
48,The Secret Service was already initialized,yes
49,"apparmor=""DENIED""",yes
50,"apparmor=""DENIED""",yes
51,Changed attributes:,yes
52,session closed,no
53,session closed,no
54,Accepted password for root from ,yes
55,Changed attributes:,yes
56,Removed session,no
57,USER=root ; COMMAND=,yes
58,Accepted password for root from ,yes
59,Registered Authentication Agent,yes
60,Removed session,no
61,Removed session,no
62,The SSH agent was already initialized,no
63,Changed attributes:,yes
64,Changed attributes:,yes
65,Removed session,no
66,session opened,yes
67,Changed attributes:,yes
68,Registered Authentication Agent,yes
69,The SSH agent was already initialized,no
70,"apparmor=""DENIED""",yes
71,session closed,no
72,session closed,no
73,session opened,yes
74,session opened,yes
75,The SSH agent was already initialized,no
76,Changed attributes:,yes
77,Removed session,no
78,is owned by root and has written permissions to anyone,yes
79,Removed session,no
80,Removed session,no
81,USER=root ; COMMAND=,yes
82,"apparmor=""DENIED""",yes
83,session opened,yes
84,"apparmor=""DENIED""",yes
85,"apparmor=""DENIED""",yes
86,session opened,yes
87,"apparmor=""DENIED""",yes
88,Removed session,no
89,Accepted password for root from ,yes
90,Changed attributes:,yes
91,Changed attributes:,yes
92,The SSH agent was already initialized,no
93,Removed session,no
94,Removed session,no
95,USER=root ; COMMAND=,yes
96,session closed,no
97,Removed session,no
98,The SSH agent was already initialized,no
99,session closed,no
100,"apparmor=""DENIED""",yes
101,Changed attributes:,yes
102,USER=root ; COMMAND=,yes
103,is owned by root and has written permissions to anyone,yes
104,Accepted password for root from ,yes
105,Removed session,no
106,Removed session,no
107,Removed session,no
108,session opened,yes
109,"apparmor=""DENIED""",yes
110,"apparmor=""DENIED""",yes
111,Accepted password for root from ,yes
112,session opened,yes
113,Changed attributes:,yes
114,The Secret Service was already initialized,yes
115,"apparmor=""DENIED""",yes
116,The Secret Service was already initialized,yes
117,Changed attributes:,yes
118,Removed session,no
119,The Secret Service was already initialized,yes
120,is owned by root and has written permissions to anyone,yes
121,Accepted password for root from ,yes
122,Removed session,no
123,Changed attributes:,yes
124,Changed attributes:,yes
125,Removed session,no
126,Removed session,no
127,The Secret Service was already initialized,yes
128,The Secret Service was already initialized,yes
129,"apparmor=""DENIED""",yes
130,The Secret Service was already initialized,yes
131,"apparmor=""DENIED""",yes
132,"apparmor=""DENIED""",yes
133,Accepted password for root from ,yes
134,session opened,yes
135,Accepted password for root from ,yes
136,The Secret Service was already initialized,yes
137,Accepted password for root from ,yes
138,session opened,yes
139,The SSH agent was already initialized,no
140,"apparmor=""DENIED""",yes
141,"apparmor=""DENIED""",yes
142,Changed attributes:,yes
143,session closed,no
144,Removed session,no
145,USER=root ; COMMAND=,yes
146,"apparmor=""DENIED""",yes
147,Registered Authentication Agent,yes
148,Changed attributes:,yes
149,session opened,yes
150,session opened,yes
151,The Secret Service was already initialized,yes
152,"apparmor=""DENIED""",yes
153,The SSH agent was already initialized,no
154,session opened,yes
155,Removed session,no
156,Removed session,no
157,"apparmor=""DENIED""",yes
158,Accepted password for root from ,yes
159,session opened,yes
160,The Secret Service was already initialized,yes
161,session opened,yes
162,session opened,yes
163,The Secret Service was already initialized,yes
164,"apparmor=""DENIED""",yes
165,The SSH agent was already initialized,no
166,"apparmor=""DENIED""",yes
167,The Secret Service was already initialized,yes
168,Removed session,no
169,The SSH agent was already initialized,no
170,The SSH agent was already initialized,no
171,"apparmor=""DENIED""",yes
172,Registered Authentication Agent,yes
173,session opened,yes
174,session opened,yes
175,Accepted password for root from ,yes
176,Changed attributes:,yes
177,Changed attributes:,yes
178,Accepted password for root from ,yes
179,Removed session,no
180,Registered Authentication Agent,yes
181,"apparmor=""DENIED""",yes
182,The SSH agent was already initialized,no
183,session opened,yes
184,Changed attributes:,yes
185,Changed attributes:,yes
186,Removed session,no
187,The SSH agent was already initialized,no
188,session opened,yes
189,Registered Authentication Agent,yes
190,Removed session,no
191,Removed session,no
192,Accepted password for root from ,yes
193,Removed session,no
194,session opened,yes
195,Accepted password for root from ,yes
196,The Secret Service was already initialized,yes
197,"apparmor=""DENIED""",yes
198,session opened,yes
199,Removed session,no
200,"apparmor=""DENIED""",yes
201,Removed session,no
202,session opened,yes
203,session closed,no
204,Registered Authentication Agent,yes
205,"apparmor=""DENIED""",yes
206,is owned by root and has written permissions to anyone,yes
207,Changed attributes:,yes
208,Registered Authentication Agent,yes
209,Removed session,no
210,Changed attributes:,yes
211,session opened,yes
212,Removed session,no
213,Accepted password for root from ,yes
214,Accepted password for root from ,yes
215,"apparmor=""DENIED""",yes
216,session closed,no
217,Removed session,no
218,The Secret Service was already initialized,yes
219,Accepted password for root from ,yes
220,Accepted password for root from ,yes
221,Changed attributes:,yes
222,Registered Authentication Agent,yes
